usuario_id;periodo;renda_total;despesas_total;saldo_mensal;gastos_cartao;parcelas_dividas;patrimonio_total;saldo_financeiro_total
1001;2026-04;8500.0;5100.0;3400.0;1200.0;480.0;2200.0;35000.0
1001;2026-05;8500.0;5250.0;3250.0;1350.0;520.0;2200.0;35500.0
1001;2026-06;8500.0;5400.0;3100.0;1500.0;500.0;2200.0;36000.0
1001;2026-07;8500.0;5500.0;3000.0;1700.0;480.0;2200.0;37000.0
1002;2026-04;5200.0;3600.0;1600.0;650.0;420.0;1500.0;1600.0
1002;2026-05;5200.0;3750.0;1450.0;720.0;450.0;1600.0;1700.0
1002;2026-06;5200.0;3850.0;1350.0;800.0;460.0;1700.0;1750.0
1002;2026-07;5200.0;3900.0;1300.0;900.0;500.0;1800.0;1800.0
1003;2026-04;4300.0;3900.0;400.0;1200.0;1050.0;250.0;250.0
1003;2026-05;4300.0;3800.0;500.0;1300.0;1020.0;280.0;280.0
1003;2026-06;4300.0;3700.0;600.0;1400.0;1000.0;320.0;320.0
1003;2026-07;4300.0;3650.0;650.0;1500.0;980.0;350.0;350.0
1004;2026-04;7800.0;4500.0;3300.0;1200.0;1500.0;53000.0;53000.0
1004;2026-05;7800.0;4600.0;3200.0;1300.0;1500.0;54000.0;54000.0
1004;2026-06;7800.0;4700.0;3100.0;1400.0;1500.0;55000.0;55000.0
1004;2026-07;7800.0;4800.0;3000.0;1500.0;1500.0;56500.0;56500.0
1005;2026-04;13500.0;6900.0;6600.0;2400.0;1400.0;158000.0;158000.0
1005;2026-05;13500.0;7000.0;6500.0;2600.0;1450.0;164000.0;164000.0
1005;2026-06;13500.0;7100.0;6400.0;2800.0;1450.0;170000.0;170000.0
1005;2026-07;13500.0;7200.0;6300.0;3000.0;1450.0;177000.0;177000.0
